Id,SalePrice
1461,116597.337
1462,153268.3042
1463,181066.3606
1464,180216.2498
1465,192435.8715
1466,191863.2228
1467,163651.9594
1468,180437.002
1469,195739.4372
1470,108280.3901
1471,183503.3837
1472,102169.248
1473,95850.74707
1474,132784.4606
1475,119325.6182
1476,365764.7712
1477,264605.826
1478,315782.9691
1479,299940.3346
1480,387263.6171
1481,303792.4642
1482,215910.0053
1483,196926.4298
1484,161174.1746
1485,210030.2917
1486,216576.8411
1487,343537.9011
1488,254389.1109
1489,198382.717
1490,205801.7768
1491,224570.6305
1492,108749.969
1493,176169.7349
1494,303666.9309
1495,290644.3563
1496,202455.5286
1497,192776.2554
1498,166761.1026
1499,161118.1432
1500,147399.3111
1501,163838.9684
1502,155844.5026
1503,272840.9361
1504,244202.4509
1505,206752.3472
1506,181385.6318
1507,231141.5124
1508,216151.3978
1509,173858.807
1510,137820.2036
1511,146486.3749
1512,149715.64
1513,176857.5997
1514,144531.576
1515,173898.0018
1516,174969.6004
1517,142070.395
1518,146561.2193
1519,204671.4672
1520,121309.2135
1521,128898.2962
1522,166317.3391
1523,115659.4842
1524,120509.3575
1525,118568.3179
1526,122408.594
1527,100267.6976
1528,134193.861
1529,129692.7539
1530,159413.5969
1531,108301.1566
1532,90261.33675
1533,131496.7363
1534,138495.8144
1535,143474.5153
1536,115832.2704
1537,74918.26222
1538,167730.6211
1539,186339.6867
1540,136815.5499
1541,141331.7888
1542,129942.0393
1543,182637.0967
1544,81758.635
1545,123095.5367
1546,133685.2648
1547,124103.7593
1548,136769.7515
1549,114044.2864
1550,130647.256
1551,109740.1326
1552,130028.3828
1553,137180.8747
1554,115176.1978
1555,161049.2934
1556,123557.0204
1557,112270.9605
1558,104927.533
1559,105703.5868
1560,126025.5042
1561,130988.2339
1562,111697.5857
1563,110888.3635
1564,152141.4124
1565,150646.0546
1566,214998.7389
1567,89177.54707
1568,213494.586
1569,120258.2419
1570,133530.9763
1571,119933.0318
1572,123024.5029
1573,227015.2708
1574,141371.567
1575,205330.2323
1576,231928.54
1577,193678.9891
1578,138707.9711
1579,148131.0232
1580,220376.7927
1581,140845.5419
1582,120503.31
1583,283023.0223
1584,239506.4219
1585,140370.2842
1586,68004.46801
1587,107247.9808
1588,136424.5853
1589,117859.0499
1590,131525.6334
1591,92648.11377
1592,107999.5138
1593,119098.9348
1594,123133.6032
1595,124087.8164
1596,203194.7517
1597,178747.8633
1598,238790.0607
1599,168299.7503
1600,177645.4014
1601,63983.24123
1602,122883.1435
1603,89345.30631
1604,229504.348
1605,277227.5876
1606,160640.7554
1607,198608.8967
1608,221315.0734
1609,195295.6288
1610,168893.3702
1611,149421.6946
1612,183385.3127
1613,169062.2376
1614,103572.6572
1615,81067.54282
1616,83768.49368
1617,89216.77459
1618,110786.8612
1619,137939.5409
1620,182772.1988
1621,159864.3898
1622,143156.7893
1623,248916.0911
1624,209193.0722
1625,120948.9182
1626,166170.346
1627,192432.9593
1628,295402.8065
1629,207037.0067
1630,283891.5802
1631,218035.6086
1632,232431.4141
1633,196678.0634
1634,185297.9007
1635,182662.9552
1636,161464.3379
1637,181921.1561
1638,236227.4513
1639,180624.8766
1640,260085.577
1641,182446.6695
1642,222105.5034
1643,246094.1996
1644,247510.9972
1645,167127.1988
1646,151887.6703
1647,175220.3169
1648,133100.0075
1649,129187.8174
1650,104698.845
1651,108331.8073
1652,102618.8236
1653,102393.7891
1654,145182.4342
1655,138395.2298
1656,142458.0201
